uid,task,format,model_id,model_label,valid,judge,geometry,topology,qa_s,qa_p,jsem_native,condition,scorecard,qa_details,generated,gt_mesh,mesh,gt_render,pred_render
0092/00923543,descriptive,openscad,gpt6_probe,GPT-6 (xhigh),True,1.0,,,1.0,,10,cases/0092_00923543/descriptive/openscad/gpt6_probe/condition.txt,cases/0092_00923543/descriptive/openscad/gpt6_probe/scorecard.json,,assets/491d4e53213aa1304b8fdbd5e2548b34b0898d7c552abb63e8d8886548647b38.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/2d37dd625c83192bef04e908b1cd0b204364a46afd4d032b8de400451b06164f.stl,assets/42dbd1824aefa510f27a718303ae92623123df56ac7aed84ee94145f4273af9e.png,assets/c03a871d94e72f985c2c30b8a8442085b8fd504dca29a159b46585b40019989c.png
0092/00923543,descriptive,openscad,gemini38_flash,Gemini 3.8 Flash (high),True,0.7777777777777778,,,1.0,,6,cases/0092_00923543/descriptive/openscad/gemini38_flash/condition.txt,cases/0092_00923543/descriptive/openscad/gemini38_flash/scorecard.json,,assets/ab927f77d6f87a0da898136cabe50e996f9cf0604e5880a58afdeafa74711a1a.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/a3ad1148aae9f0e19d0100f2a22af90b9753ddccbee3312fd02f19646fc70d9a.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/438d3af2ea2da770385fe009d6a30d706e95e19aa439baa0380c6b6ded6e5d93.png
0092/00923543,descriptive,openscad,qwen38max,Qwen3.8-Max (xhigh),True,1.0,,,1.0,,10,cases/0092_00923543/descriptive/openscad/qwen38max/condition.txt,cases/0092_00923543/descriptive/openscad/qwen38max/scorecard.json,,assets/c74028e4ceca067cff22a71afdca5ce1fd0dc0a97ae6a4666256b05b1c52e9bf.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/d0738ada508895d8ab1791283e05f99f35056c89a00d4ae0f1c312bc7631fc14.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/6c0765fa6825d88ddab0d86a571e6d1d39f42ded96c30115d2c5f8eb0d92514a.png
0092/00923543,descriptive,openscad,grok46,Grok 4.6 (high),True,0.8333333333333333,,,1.0,,7,cases/0092_00923543/descriptive/openscad/grok46/condition.txt,cases/0092_00923543/descriptive/openscad/grok46/scorecard.json,,assets/3af85b8454123686c2ada1ee7165c3abbce3a0f7f2c84cdeeb11a5b57fb628d2.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/f16f4ad69648626f7294c0660eaa9f74fc38671371cc2fd5ecd224ce83b61584.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/1e4a287c7b25378b84a1ac8249e13a4835aa0e1f0b93b6f0f993f8620788f994.png
0092/00923543,descriptive,openscad,kimi_k3,Kimi K3 (max),True,1.0,,,1.0,,10,cases/0092_00923543/descriptive/openscad/kimi_k3/condition.txt,cases/0092_00923543/descriptive/openscad/kimi_k3/scorecard.json,,assets/c346f8c14097b4e780787903e560cdd1c35e3c118da9540d5dd3fb252df3da4b.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/634210b4a72c7c1b9dd73aced26cd0ac5aa65af905874f73e9d264f09cc482d8.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/3fde927d3002ec91e2cc7cdcdf4d4735f53ad2e09f9b1a16886ab45c074455c5.png
0092/00923543,descriptive,openscad,claude_opus5,Claude Opus 5 (max),True,0.1111111111111111,,,0.0,,3,cases/0092_00923543/descriptive/openscad/claude_opus5/condition.txt,cases/0092_00923543/descriptive/openscad/claude_opus5/scorecard.json,,assets/2d925ce239fed5faa44f485a66b4c267236cf71057d4e8dd09759f9591c72cf4.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/5ba0eef720c0030686f4f2bd4aef9380ee3d6c2ccb4ee96193025873bb5af050.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/34d0deb0d502beb9801f45856a1d44f7131a2f8e4734e0bb71d8ade8fa09218a.png
0092/00923543,descriptive,openscad,glm53_official,GLM-5.3 (high),True,0.875,,,0.75,,10,cases/0092_00923543/descriptive/openscad/glm53_official/condition.txt,cases/0092_00923543/descriptive/openscad/glm53_official/scorecard.json,,assets/6944d41eed695396caffda624453491791090729b431063df62e7fda32aaa67e.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/6ccc287229efa6cec98ae098c96994e538e4947250a8d3ed86779b897f6838f5.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/4e948a21a54feca84c9885cdda9d8ec8f8114e62870e62a110bf13d48caf74ad.png
0092/00923543,descriptive,openscad,deepseek_v41flash,DeepSeek V4.1 Flash (high),True,0.8333333333333333,,,1.0,,7,cases/0092_00923543/descriptive/openscad/deepseek_v41flash/condition.txt,cases/0092_00923543/descriptive/openscad/deepseek_v41flash/scorecard.json,,assets/696e8ff85b6bf4d9c055d2da6587652b6a5635d7954f21dfd15b3483dcad5fd9.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/67e8b99544e19ca150ff349091f318b75db179dfea2728a267c0876d4d4275ab.stl,assets/8cb40920a43d9c70a220de8cf987bf17dfe5152c3c100ce76f4f756cf29888e0.png,assets/dd4fa8f36aab1047f49e2acd26183842f70550c2375c0cde6f388df7dc190300.png
0092/00923543,descriptive,openscad,doubao21,Doubao Seed 2.1 Pro (Thinking),True,1.0,,,1.0,,10,cases/0092_00923543/descriptive/openscad/doubao21/condition.txt,cases/0092_00923543/descriptive/openscad/doubao21/scorecard.json,,assets/9106cce21c70f519a51aff0ecd829e8ebdd41f0ea87d77930b9be3e922b68fa7.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/87f7d7883ebe58081746977969bb16bd66ccdee73423e5a374cb88cc53c1fede.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/a27d90e043aca17fa403bab9660a0dcf67a8a45be0669df81f50dc6c6b3269ad.png
0092/00923543,descriptive,openscad,glm53flash,GLM-5.3-Flash (high),True,0.8888888888888888,,,1.0,,8,cases/0092_00923543/descriptive/openscad/glm53flash/condition.txt,cases/0092_00923543/descriptive/openscad/glm53flash/scorecard.json,,assets/05e89aa91f86f787b2f69aea17be5c200baf4bff1c452d944968c6f18aa2154a.scad,assets/1b326187950a3281c2e525e75d9ccb90e557ef97c4da8913acab93feee3d644f.stl,assets/80498c4219fe1ebf85c52807e5ea525125f88cba644871a6e1527e43c165a890.stl,assets/4a89f73612940b66272bf1d7e14627d0d6c142cddd0805b1379a30d7ab4205a2.png,assets/c99dc96df23d3c2bc731621ae84e77a8d3ce2967e39e88931b88f620906f1937.png
0062/00621494,parametric,openscad,gpt6_probe,GPT-6 (xhigh),True,1.0,0.70272,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/gpt6_probe/condition.txt,cases/0062_00621494/parametric/openscad/gpt6_probe/scorecard.json,,assets/978961038769b533b103345cdd3527b36ca56d0a17bdf198c5362bbb4868371e.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/65de081f1937eb9c7e9df398e867839c19986faf7aa75be5faa64130784d6d10.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/0d4e8ab9054c9839f279e36dbbef3a1b5fe490388d8a0aa194a018c5b6ba95ab.png
0062/00621494,parametric,openscad,gemini38_flash,Gemini 3.8 Flash (high),True,1.0,0.7038800000000001,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/gemini38_flash/condition.txt,cases/0062_00621494/parametric/openscad/gemini38_flash/scorecard.json,,assets/1dea8834fc4fb4a87d652bff292ec3555fe652a2946ced83cda04eac56b4dcf8.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/9f5a4250f00f75050349f62df42c8dd21f029f3b14cdd20889feecb7ce8dbee1.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/f9b069b1cea4c8ae99801813358fd3f50c1f9b8cc946c68fe64e6eeb6ff7dcd7.png
0062/00621494,parametric,openscad,qwen38max,Qwen3.8-Max (xhigh),True,1.0,0.74246,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/qwen38max/condition.txt,cases/0062_00621494/parametric/openscad/qwen38max/scorecard.json,,assets/c1e9a56ee335cef479fb5bb617d100a18cedec1c8805abf6010ad16fb63f3b58.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/23622126ac7d13db382e697b0054b05a2e8f899d58359a6501bacef73f60b07c.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/f93151792350e1447ac40aafe8a650608caffa0d8def028a77207aa016d08ad6.png
0062/00621494,parametric,openscad,grok46,Grok 4.6 (high),True,0.9166666666666666,0.71722,1.0,0.75,1.0,,cases/0062_00621494/parametric/openscad/grok46/condition.txt,cases/0062_00621494/parametric/openscad/grok46/scorecard.json,,assets/38a61cdcf78911eb81a4126573d8537b99ba636b53c383fbc80d7208297da5fd.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/3d6836558921be5d32c09a1101021a3ebced7c15bbab2f6b7caedc41976a0ef2.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/cdce85a4bbcd72545683a0010d95a87edefaa2ad038ecfb5129a18c78d0f6cf4.png
0062/00621494,parametric,openscad,kimi_k3,Kimi K3 (max),True,1.0,0.6702600000000001,0.9926426666666667,1.0,1.0,,cases/0062_00621494/parametric/openscad/kimi_k3/condition.txt,cases/0062_00621494/parametric/openscad/kimi_k3/scorecard.json,,assets/8717803983ada7e85597e2987b474a0263ab6afbb1d5718a0903614da353c5b2.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/22b5efc86c4366fc3b26086003d9f89f861c6eb2257a82e2a6dcf4a8e628f66f.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/81ed524ec7fdbe419029f0d9cc69770609f1dfc85b6b49c8303d30d80dece777.png
0062/00621494,parametric,openscad,claude_opus5,Claude Opus 5 (max),True,1.0,0.51,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/claude_opus5/condition.txt,cases/0062_00621494/parametric/openscad/claude_opus5/scorecard.json,,assets/751553ebf31657ab743d70c20ef2fff2e4e0d7f18f9e8bfaa5e4ac547d2c8d82.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/18aac155a0a206c5ce35dbb8e49e9a32a3e3990e3dd515e93691f5a031bd6d7b.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/fb1351b38683c9ba221197a70805cb9368eeed02be9360904677b29905925ca6.png
0062/00621494,parametric,openscad,glm53_official,GLM-5.3 (high),True,1.0,0.71898,0.9997889999999999,1.0,1.0,,cases/0062_00621494/parametric/openscad/glm53_official/condition.txt,cases/0062_00621494/parametric/openscad/glm53_official/scorecard.json,,assets/194f73d2fb41728ad975a24994c545622c1e32d821dc9c2dc79ffa2b5485d99c.scad,assets/a0a9fc30a1f17ea12683f940328d91fc9ebeae6b0b2eba5bca6b7a933d95b1a7.stl,assets/4fbc1bde5555eb44ffc4992fdb1c40a1b958270b2aff43803fd7e2b7abb25eab.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/1bb635646af0ba9bbe75569b17fb00ca50792371ac179100db5863356832275f.png
0062/00621494,parametric,openscad,deepseek_v41flash,DeepSeek V4.1 Flash (high),True,1.0,0.5655600000000001,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/deepseek_v41flash/condition.txt,cases/0062_00621494/parametric/openscad/deepseek_v41flash/scorecard.json,,assets/eb76c00e8840b50fca29afd43e5c5c60ab4a5d5c3140f20ebd5ededc79ed39b7.scad,assets/a0a9fc30a1f17ea12683f940328d91fc9ebeae6b0b2eba5bca6b7a933d95b1a7.stl,assets/5aa8069fc23b78c1bb2c5cfb48077cf8b99f1fe13720f083a6fe6299c8b79d35.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/2ce6bb62943033baa8caa343ad2c9348801635c37d39aacca127227c15743360.png
0062/00621494,parametric,openscad,doubao21,Doubao Seed 2.1 Pro (Thinking),True,1.0,0.7125199999999999,0.9999096666666666,1.0,1.0,,cases/0062_00621494/parametric/openscad/doubao21/condition.txt,cases/0062_00621494/parametric/openscad/doubao21/scorecard.json,,assets/36d322e720ce44a6d792327b7112ba8c43427a949cea3474fdb2b2541e7151ad.scad,assets/a0a9fc30a1f17ea12683f940328d91fc9ebeae6b0b2eba5bca6b7a933d95b1a7.stl,assets/6f7ec4a5a1d33acf51cedb6de56b0a1f1b8f3eb1b1f335605e60b070f5a59f13.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/45fa0adb8dae84f6c3ad05d98a337f1a4d11f138571c4dd15080897c2d68c598.png
0062/00621494,parametric,openscad,glm53flash,GLM-5.3-Flash (high),True,1.0,0.7588199999999999,1.0,1.0,1.0,,cases/0062_00621494/parametric/openscad/glm53flash/condition.txt,cases/0062_00621494/parametric/openscad/glm53flash/scorecard.json,,assets/7e35aeed4221d10c1c8a527f5b5b35a2fe0073aabc38e22b731c8d2e5d542fef.scad,assets/7d756e1330c349968178a07dbbc15ef385598d41701a45af7fa058ecf716e01d.stl,assets/368776508c5a3feeee4d3e6ba039b925ad46831fcf1414ee1563ec4be876306d.stl,assets/32bf8ebabbab13029414d1852515cbdabaa5f8b9fb40e94d95d5a6d4224df62d.png,assets/43aecf2ccb8f5e1a95f2cd99686bec3f0242fc4d480a5df4cbd5a7fa22beb2a0.png
